t_lower_q,t_higher_q,t_median,t_max,t_min,t_mean,t_std,u_lower_q,u_higher_q,u_median,u_max,u_min,u_mean,u_std,congestion,throughput,num_sample,reward
5996.6417409999995,12401.272955,9673.4335975,33500.557476,1534.366349,9936.647771288463,6559.669930755,0.27484203316,0.7005505008000001,0.47795213372,1.0,0.152674669825,0.5094693656726924,0.264068320468839,0.09615384615384616,516705.684107,1,4.179029009244861
3300.347885,15514.348437999997,9299.1583165,25908.727497000003,0.0,9554.245863134616,7361.642704108954,0.2405901241,0.6611559937,0.428812380325,1.0,0.0,0.47289207033999997,0.3055395640356281,0.1346153846153846,496820.784883,1,-0.4351537713117599
4897.605872,12515.529399000001,9673.4335975,28560.826682000003,412.818599,9608.73156328846,6095.886448228129,0.28072283594999997,0.6861668077,0.43827554756,1.0,0.0412818599,0.4956460898806731,0.27362525454472125,0.11538461538461539,499654.041291,1,1.2531594903234207
4925.9713440000005,12951.433045,9775.1185675,29150.617655000005,0.0,9829.311837019231,6963.8258108530235,0.2880219632,0.6228344892,0.45296441490999995,1.0,0.0,0.4900003610101924,0.2789551254288333,0.1346153846153846,511124.215525,1,-0.4351537713117599
4885.647336,12195.740275,8952.4696075,30174.822555000002,1550.762764,9867.287726115384,6677.202478444078,0.27484203316,0.6808727572250001,0.41707978765,1.0,0.15507627640000002,0.49492182079336544,0.24804031721075653,0.057692307692307696,513098.961758,1,5.410689866379594
4027.543004,12368.35176,9724.1876185,23617.508089000003,1550.762764,9743.219334788462,6030.470847403287,0.28072283594999997,0.8130182640000002,0.4277861573499999,1.0,0.07342254447999999,0.5103815499681731,0.2827620547030176,0.09615384615384616,506647.40540900006,1,2.652509773175397
3538.9564120000005,15259.799503999999,7799.066607499999,34823.145015999995,0.0,9763.149705826923,8156.440106272808,0.2182060351,0.7014982612,0.45322300175,1.0,0.0,0.470329032224327,0.2903022745624654,0.09615384615384616,507683.784703,1,1.3399941576823229
5193.210289,12124.113543,8844.3427845,31579.335932000005,982.392587,9780.175151673076,6850.716629569053,0.27484203316,0.63065006496,0.4463985490525,1.0,0.0982392587,0.4949264092106731,0.26649025131232884,0.09615384615384616,508569.107887,1,3.1174629067328166
5808.117168999999,11999.682452000001,9242.3979765,27819.342565000003,1228.825863,9771.728288057693,5794.675170558942,0.2877063905,0.7005505008000001,0.4550254781,1.0,0.1228825863,0.5136044521374039,0.2619180515528234,0.09615384615384616,508129.87097900006,1,3.5907082450130394
3494.927738,13974.333053999999,7840.5000064999995,31431.72167000001,0.0,9704.92805396154,7646.742719055527,0.2691683391,0.6453380340250001,0.42687239862500004,1.0,0.0,0.48336974495038465,0.2857451033171748,0.11538461538461539,504656.25880600006,1,0.5263846902267013
2880.2196320000003,15095.880804,8399.2000345,37519.35403700001,0.0,9533.513751365386,8062.570311992528,0.198633156,0.7403594309,0.41388607987250003,1.0,0.0,0.47360986270923083,0.3145891289401968,0.1346153846153846,495742.71507100004,1,-0.4351537713117599
3012.718908,11999.682452000001,9796.63006,34823.145015999995,412.818599,9726.344027057694,7182.059521556289,0.2579501435,0.69550331392,0.4315680918725,1.0,0.0412818599,0.48384709638298073,0.2918521530779634,0.1346153846153846,505769.88940700004,1,0.29162102878495944
4421.8583069999995,11943.629199,8860.791041,30453.775762000005,412.818599,9790.354409769232,7255.059729885475,0.274232504325,0.6676694325500001,0.41388607987250003,1.0,0.0412818599,0.48122730352211546,0.26480638150088187,0.09615384615384616,509098.429308,1,2.0667689577790425
3494.927738,12515.529399000001,8945.661015000001,28714.530116000005,623.873412,9704.995792519232,6989.269922489197,0.2579501435,0.7178632529000001,0.4032571856625,1.0,0.0623873412,0.4865748170603847,0.28657514038180504,0.09615384615384616,504659.78121100005,1,2.4493590475317184
4513.39451,14148.399112000001,8856.8461585,33408.15927100001,412.818599,9845.233789634616,7238.258740527614,0.2645849385599999,0.6332189104500001,0.4426955426125,1.0,0.0412818599,0.4808876721737501,0.2626067763819145,0.11538461538461539,511952.157061,1,1.2531594903234207
2880.2196320000003,12515.529399000001,8619.5043625,33500.557476,0.0,9871.86058348077,8290.392633740283,0.2182060351,0.7285702465999999,0.39890250958999995,1.0,0.0,0.46984114354480766,0.2865665287424795,0.07692307692307693,513336.750341,1,2.005674631055104
4839.709806,12370.521760000003,8702.57752,28976.274500000003,0.0,9751.117122903846,7038.313354441404,0.28154979630000004,0.6861668077,0.45997910902750005,1.0,0.0,0.4871540077307693,0.2668569794343752,0.11538461538461539,507058.09039100003,1,0.5263846902267013
4897.605872,12951.433045,8791.905913999999,29150.617655000005,0.0,9694.257390826924,6706.109208478349,0.28072283594999997,0.69550331392,0.46648355889000004,1.0,0.0,0.4892825099851924,0.27800555477621164,0.11538461538461539,504101.38432300003,1,0.5263846902267013
3973.1140800000003,13191.702240999999,9796.63006,30568.808170000004,412.818599,9553.385476923078,6168.760384603155,0.28072283594999997,0.7403594309,0.41190823117500003,1.0,0.0412818599,0.4926622349678847,0.2814847322989224,0.11538461538461539,496776.04480000003,1,1.2531594903234207
4965.8289,12990.903776999998,8695.782502,28534.272465000002,0.0,9842.507680826924,7064.586259150549,0.28072283594999997,0.7005505008000001,0.5112510230399999,1.0,0.0,0.49907406201961546,0.2924365372911854,0.1346153846153846,511810.399403,1,-0.4351537713117599
3538.9564120000005,12951.433045,7980.3208525,34823.145015999995,0.0,9958.22193646154,8339.836964876913,0.274232504325,0.610762457,0.43453904616249994,1.0,0.0,0.46730435644875007,0.2565070833698572,0.057692307692307696,517827.54069600004,1,2.523426110345045
