t_lower_q,t_higher_q,t_median,t_max,t_min,t_mean,t_std,u_lower_q,u_higher_q,u_median,u_max,u_min,u_mean,u_std,congestion,throughput,num_sample,reward
2272.679141,11539.122158999999,4845.164327500001,28554.027364,329.808338,7001.625584904761,6310.145398023844,0.03389567342,0.19727217131000002,0.09766257917,0.4783698595999999,0.01319233352,0.13508678991369047,0.11889840277080008,0.0,294068.274566,1,15.841692442994717
3601.345717,10168.207684000003,5633.7927389999995,16380.917177999998,892.5814369999999,6848.171473690476,4086.2541357954105,0.05139045532,0.199366988975,0.11520422094249999,0.4067283073600001,0.025225750825,0.1397953294286905,0.09467128059250692,0.0,287623.201895,2,18.886031026478797
2822.1814590000004,12084.351833,5119.759065499999,18691.009907000003,330.159231,6947.682571238095,5093.124454171692,0.03965023608,0.18691009907000003,0.113654327335,0.52560254612,0.01320636924,0.1438119348941667,0.1320545250221857,0.0,291802.667992,3,14.31714130325223
2821.596364,10314.340176999998,5592.739712,20664.129444000002,125.607082,6951.268631690476,5150.174178294241,0.033343567389999995,0.21013607936,0.10797215993,0.4453172470000001,0.00502428328,0.14402602121261904,0.1198448656658496,0.0,291953.282531,4,16.69723146147213
1611.351785,10027.332895999998,3668.4782314999998,38886.31808199999,238.587523,7163.945521928571,8102.269339156533,0.021725799960000004,0.2224980154,0.08954584640499999,0.40289240264,0.005964688075,0.13200736005107144,0.11776614535528741,0.0,300885.711921,5,18.286903432898
2954.6747219999997,10468.073445000002,5228.116768,21288.621565,411.806708,6933.138025071429,5056.8406096219405,0.04105026201,0.20319314588,0.108402678515,0.46306075452000006,0.014509123200000001,0.14281633328035714,0.11688835147018577,0.0,291191.797053,6,16.40900356508303
2858.412985,10685.370649999999,5825.483812500001,19155.440012,90.02330400000001,6860.0967886904755,5160.3714073306965,0.03177789575,0.18968638636,0.12126739687999999,0.558649372,0.0036009321600000005,0.13766144903333336,0.11836593986772379,0.0,288124.06512499996,7,13.037875750415767
3886.891296,10262.086487,5406.9884175,16975.281722000003,489.163772,6873.326025309525,4303.657532397373,0.052129276710000005,0.19477804708,0.110555076545,0.41926231584,0.01956655088,0.14046135787309524,0.10228109233544386,0.0,288679.69306300004,8,18.18136088082683
3396.6935870000007,9162.266955000001,4897.305855,24290.503817000004,1168.4973750000001,6942.884001999999,5070.206389447272,0.060630768,0.19028110131999998,0.10916921346999998,0.39315858988,0.029212434375000002,0.1378852741275,0.09329843428168941,0.0,291601.12808399997,9,19.591748775535933
2945.741577,10320.432721000001,5182.6476985,23743.973007999997,557.503603,6953.666820452381,5365.587733834044,0.04505102256,0.19941227852,0.12114811874999999,0.41144320692,0.013937590075,0.13744757445738093,0.1004037444104441,0.0,292054.006459,10,18.264820213823864
